Dataset ID,Dataset Name,Column,Prediction,Sample
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,2020 Census Tract,BAN,"['53077000903', '53063004400', '53061050501', '53033006800', '53077000401']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['5YJSA1E27G', '5YJ3E1EA3J', '1FADP5CU4G', '5YJ3E1EA0K', '1N4BZ1CP3K']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['Snohomish', 'King', 'Thurston', 'King', 'King']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Lacey', 'Tenino', 'Walla Walla', 'Olympia', 'Olympia']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['98908', '98516', '98501', '98908', '98037']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2019', '2017', '2019', '2021', '2018']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['TOYOTA', 'NISSAN', 'KIA', 'RIVIAN', 'TESLA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['LEAF', 'MODEL Y', 'MODEL 3', 'LEAF', 'LEAF']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Plug-in Hybrid Electric Vehicle (PHEV)',
 'Plug-in Hybrid Electric Vehicle (PHEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Plug-in Hybrid Electric Vehicle (PHEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['87', '72', '215', '93', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['14', '37', '40', '23', '6']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['150612332', '476172749', '226146322', '4706670', '152747507']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.179458 47.802589)', 'POINT (-122.639265 47.5373)',
 'POINT (-122.34848 47.632405)', 'POINT (-122.6466274 47.6341188)',
 'POINT (-120.477805 46.553505)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['PUGET SOUND ENERGY INC', 'PACIFICORP',
 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)', 'PUGET SOUND ENERGY INC',
 'PUGET SOUND ENERGY INC']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,2020 Census Tract,BAN,"['53061051913', '53067011100', '53067010300', '53033025101', '53061050700']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['5YJSA1E2XH', '1N4BZ0CP4H', 'KNDJX3AE5G', 'WA1AAAGE4M', '5YJ3E1EA3J']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['Snohomish', 'King', 'Yakima', 'King', 'Yakima']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Spokane', 'Seattle', 'Seattle', 'Auburn', 'Seattle']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['98021', '98208', '98208', '98903', '98597']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2017', '2023', '2023', '2021', '2020']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['BMW', 'KIA', 'TESLA', 'NISSAN', 'TESLA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['LEAF', 'C-MAX', 'LEAF', 'MODEL 3', 'MODEL 3']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Battery Electric Vehicle (BEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Eligibility unknown as battery range has not been researched',
 'Clean Alternative Fuel Vehicle Eligible',
 'Eligibility unknown as battery range has not been researched']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['30', '72', '150', '270', '220']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['1', '37', '5', '32', '36']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['150126840', '132294879', '211250833', '475432268', '228846642']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.615305 48.501275)', 'POINT (-122.2247757 47.9156409)',
 'POINT (-120.6027202 46.5965625)', 'POINT (-122.92145 47.045935)',
 'POINT (-120.32009 47.42255)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['PUGET SOUND ENERGY INC', 'PUD NO 2 OF GRANT COUNTY',
 'PUGET SOUND ENERGY INC', 'PUGET SOUND ENERGY INC',
 'PUGET SOUND ENERGY INC']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,2020 Census Tract,BAN,"['53035091002', '53033008102', '53057940302', '53033025302', '53067012226']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['KNDJX3AE9H', '1FADP5CU1D', '1FADP5CUXD', '5UXTS1C01M', '7SAYGDEE9P']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['Island', 'Thurston', 'Snohomish', 'Skagit', 'Kitsap']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Moses Lake', 'Yakima', 'Yakima', 'Yakima', 'Olympia']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['99203', '98502', '98221', '98501', '98208']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2019', '2015', '2020', '2019', '2016']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['TESLA', 'KIA', 'TESLA', 'KIA', 'TESLA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['LEAF', 'I3', 'MODEL 3', 'NIRO', 'NIRO']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Battery Electric Vehicle (BEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['21', '21', '19', '93', '220']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '31950']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['35', '37', '23', '37', '20']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['262782089', '180887143', '150126840', '280295410', '312765582']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.1873 47.820245)', 'POINT (-122.85403 46.856085)',
 'POINT (-122.89692 47.043535)', 'POINT (-123.09575 46.82114)',
 'POINT (-122.15134 47.8851158)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['PUGET SOUND ENERGY INC', 'PUGET SOUND ENERGY INC', 'PACIFICORP',
 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)', 'PUGET SOUND ENERGY INC']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,2020 Census Tract,BAN,"['53057940302', '53067012610', '53077002803', '53061041607', '53029970500']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['KNAGV4LD9J', '1N4AZ0CP8F', '5YJXCBE22J', '1N4AZ0CP3F', 'KNDCD3LD2J']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['Snohomish', 'King', 'Thurston', 'Yakima', 'Thurston']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Rochester', 'Kingston', 'Moses Lake', 'Everett', 'Olympia']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['98115', '98122', '98021', '98502', '98837']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2020', '2020', '2021', '2016', '2012']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['TOYOTA', 'TESLA', 'KIA', 'NISSAN', 'BMW']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['PRIUS PRIME', 'MODEL 3', 'MODEL Y', 'NIRO', 'NIRO']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Plug-in Hybrid Electric Vehicle (PHEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Eligibility unknown as battery range has not been researched',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['215', '0', '25', '75', '73']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['14', '37', '14', '11', '32']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['207105636', '168371122', '348979466', '132843623', '186133']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.5235781 47.6293323)', 'POINT (-122.37815 47.66866)',
 'POINT (-122.92145 47.045935)', 'POINT (-122.89692 47.043535)',
 'POINT (-122.615305 48.501275)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['PUGET SOUND ENERGY INC', 'PUGET SOUND ENERGY INC',
 'PUGET SOUND ENERGY INC', 'PUGET SOUND ENERGY INC',
 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,2020 Census Tract,BAN,"['53061051913', '53077002803', '53029971100', '53033007201', '53035092400']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,VIN (1-10),could not determine,"['5YJ3E1EA2J', '5YJYGDEEXL', 'KNDCC3LG6L', '1FADP5CU4G', '1C4JJXP61M']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,County,UNKNOWN,"['Grant', 'Yakima', 'Thurston', 'King', 'King']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,City,UNKNOWN,"['Port Orchard', 'Bothell', 'Everett', 'Olympia', 'Tenino']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,State,UNKNOWN,"['WA', 'WA', 'WA', 'WA', 'WA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Postal Code,INTEGER,"['98823', '98903', '98366', '98037', '98597']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model Year,INTEGER,"['2018', '2015', '2019', '2017', '2023']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Make,UNKNOWN,"['TESLA', 'KIA', 'NISSAN', 'NISSAN', 'KIA']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Model,UNKNOWN,"['MODEL 3', 'LEAF', 'C-MAX', 'WRANGLER', 'NIRO']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Vehicle Type,UNKNOWN,"['Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)',
 'Plug-in Hybrid Electric Vehicle (PHEV)',
 'Battery Electric Vehicle (BEV)', 'Battery Electric Vehicle (BEV)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Clean Alternative Fuel Vehicle (CAFV) Eligibility,UNKNOWN,"['Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible',
 'Not eligible due to low battery range',
 'Clean Alternative Fuel Vehicle Eligible',
 'Clean Alternative Fuel Vehicle Eligible']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Range,INTEGER,"['103', '151', '238', '220', '220']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Base MSRP,INTEGER,"['0', '0', '0', '0', '0']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Legislative District,INTEGER,"['11', '1', '37', '21', '36']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,DOL Vehicle ID,SSN,"['348979466', '140569600', '170260471', '196800978', '280295410']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Vehicle Location,FLOAT,"['POINT (-122.615305 48.501275)', 'POINT (-122.50156 47.8019)',
 'POINT (-122.21024 47.4797047)', 'POINT (-122.89692 47.043535)',
 'POINT (-122.2849393 47.3384055)']"
844dbad1-ee1e-44b8-9799-34cb7ed24640,Electric Vehicle Population Data,Electric Utility,UNKNOWN,"['PUGET SOUND ENERGY INC', 'PUGET SOUND ENERGY INC',
 'PUGET SOUND ENERGY INC', 'PACIFICORP', 'PUGET SOUND ENERGY INC']"
